Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Step-Up Board Navy,step-up-board-navy,Extra volume shortboard for bigger days when your regular board feels too small.,RetroWave,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,advanced,unisex,navy,adult",TRUE,Active,product_39,,Color,Navy,,,,,,,,656.25,787.50,,TRUE,,shopify,7,DENY,3900,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Step-Up Board Navy,,FALSE,Step-Up Board Navy,Extra volume shortboard for bigger days when your regular board feels too small.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Grom Board - Kids Charcoal,grom-board-kids-charcoal,Scaled-down performance board for young surfers aged 8-14. Lightweight and responsive.,AquaCraft,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,beginner,unisex,charcoal,kids",TRUE,Active,product_40,,Color,Charcoal,,,,,,,,208.37,250.04,,TRUE,,shopify,14,DENY,2200,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Grom Board - Kids Charcoal,,FALSE,Grom Board - Kids Charcoal,Scaled-down performance board for young surfers aged 8-14. Lightweight and responsive.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Kids,,,,new,FALSE,,,,,
3/2mm Full Wetsuit Black,3-2mm-full-wetsuit-black,Versatile full-body wetsuit for spring and autumn sessions. Flexible neoprene with sealed seams.,WavePro,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,unisex,black,adult",TRUE,Active,product_1,,Color,Black,,Gender,Unisex,,,,,317.43,,,TRUE,,shopify,8,DENY,1800,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,3/2mm Full Wetsuit Black,,FALSE,3/2mm Full Wetsuit Black,Versatile full-body wetsuit for spring and autumn sessions. Flexible neoprene with sealed seams.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Unisex,Adult,,,,new,FALSE,,,,,
4/3mm Winter Wetsuit - Men's White,4-3mm-winter-wetsuit-men-s-white,Heavyweight winter wetsuit with thermal lining for cold water surfing down to 8°C.,ThermoGear,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,male,white,adult",TRUE,Active,product_2,,Color,White,,Gender,Male,,,,,299.44,,,TRUE,,shopify,6,DENY,2200,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,4/3mm Winter Wetsuit - Men's White,,FALSE,4/3mm Winter Wetsuit - Men's White,Heavyweight winter wetsuit with thermal lining for cold water surfing down to 8°C.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Male,Adult,,,,new,FALSE,,,,,
2mm Shorty Wetsuit - Women's Blue,2mm-shorty-wetsuit-women-s-blue,"Short-sleeve, short-leg wetsuit for warm summer sessions. Maximum flexibility.",DeepBlue,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,female,blue,adult",TRUE,Active,product_3,,Color,Blue,,Gender,Female,,,,,106.76,,,TRUE,,shopify,24,DENY,900,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,2mm Shorty Wetsuit - Women's Blue,,FALSE,2mm Shorty Wetsuit - Women's Blue,"Short-sleeve, short-leg wetsuit for warm summer sessions. Maximum flexibility.",,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Female,Adult,,,,new,FALSE,,,,,
5/4mm Hooded Wetsuit - Kids Red,5-4mm-hooded-wetsuit-kids-red,Maximum warmth with integrated hood for extreme cold. Triple-glued blind-stitched seams.,ArcticSurf,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,unisex,red,kids",TRUE,Active,product_4,,Color,Red,,Gender,Unisex,,,,,417.49,500.99,,TRUE,,shopify,15,DENY,2800,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,5/4mm Hooded Wetsuit - Kids Red,,FALSE,5/4mm Hooded Wetsuit - Kids Red,Maximum warmth with integrated hood for extreme cold. Triple-glued blind-stitched seams.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Unisex,Kids,,,,new,FALSE,,,,,
Kids Full Wetsuit - Men's Green,kids-full-wetsuit-men-s-green,Durable and easy-to-wear wetsuit designed specifically for young surfers. Back zip entry.,FlexNeo,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,beginner,male,green,adult",TRUE,Active,product_5,,Color,Green,,Gender,Male,,,,,87.32,,,TRUE,,shopify,18,DENY,1200,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,Kids Full Wetsuit - Men's Green,,FALSE,Kids Full Wetsuit - Men's Green,Durable and easy-to-wear wetsuit designed specifically for young surfers. Back zip entry.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Male,Adult,,,,new,FALSE,,,,,
Spring Suit - Women's Yellow,spring-suit-women-s-yellow,Long-sleeve short-leg suit for transitional water temperatures. Great for 16-20°C.,NeptuneFit,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,female,yellow,adult",TRUE,Active,product_6,,Color,Yellow,,Gender,Female,,,,,137.32,,,TRUE,,shopify,15,DENY,1100,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,Spring Suit - Women's Yellow,,FALSE,Spring Suit - Women's Yellow,Long-sleeve short-leg suit for transitional water temperatures. Great for 16-20°C.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Female,Adult,,,,new,FALSE,,,,,
Wetsuit Vest Orange,wetsuit-vest-orange,Neoprene vest for core warmth without restricting arm movement. Layer under or wear solo.,WavePro,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,unisex,orange,adult",TRUE,Active,product_7,,Color,Orange,,Gender,Unisex,,,,,53.60,64.32,,TRUE,,shopify,18,DENY,400,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,Wetsuit Vest Orange,,FALSE,Wetsuit Vest Orange,Neoprene vest for core warmth without restricting arm movement. Layer under or wear solo.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Unisex,Adult,,,,new,FALSE,,,,,
3/2mm Full Wetsuit - Men's Teal,3-2mm-full-wetsuit-men-s-teal,Versatile full-body wetsuit for spring and autumn sessions. Flexible neoprene with sealed seams.,ThermoGear,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,male,teal,kids",TRUE,Active,product_8,,Color,Teal,,Gender,Male,,,,,228.13,,,TRUE,,shopify,17,DENY,1800,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,3/2mm Full Wetsuit - Men's Teal,,FALSE,3/2mm Full Wetsuit - Men's Teal,Versatile full-body wetsuit for spring and autumn sessions. Flexible neoprene with sealed seams.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Male,Kids,,,,new,FALSE,,,,,
4/3mm Winter Wetsuit - Women's Navy,4-3mm-winter-wetsuit-women-s-navy,Heavyweight winter wetsuit with thermal lining for cold water surfing down to 8°C.,DeepBlue,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,female,navy,adult",TRUE,Active,product_9,,Color,Navy,,Gender,Female,,,,,418.26,,,TRUE,,shopify,11,DENY,2200,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,4/3mm Winter Wetsuit - Women's Navy,,FALSE,4/3mm Winter Wetsuit - Women's Navy,Heavyweight winter wetsuit with thermal lining for cold water surfing down to 8°C.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Female,Adult,,,,new,FALSE,,,,,
2mm Shorty Wetsuit Charcoal,2mm-shorty-wetsuit-charcoal,"Short-sleeve, short-leg wetsuit for warm summer sessions. Maximum flexibility.",ArcticSurf,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,unisex,charcoal,adult",TRUE,Active,product_10,,Color,Charcoal,,Gender,Unisex,,,,,81.13,,,TRUE,,shopify,22,DENY,900,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,2mm Shorty Wetsuit Charcoal,,FALSE,2mm Shorty Wetsuit Charcoal,"Short-sleeve, short-leg wetsuit for warm summer sessions. Maximum flexibility.",,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Unisex,Adult,,,,new,FALSE,,,,,
5/4mm Hooded Wetsuit - Men's Coral,5-4mm-hooded-wetsuit-men-s-coral,Maximum warmth with integrated hood for extreme cold. Triple-glued blind-stitched seams.,FlexNeo,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,male,coral,adult",TRUE,Active,product_11,,Color,Coral,,Gender,Male,,,,,536.24,,,TRUE,,shopify,5,DENY,2800,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,5/4mm Hooded Wetsuit - Men's Coral,,FALSE,5/4mm Hooded Wetsuit - Men's Coral,Maximum warmth with integrated hood for extreme cold. Triple-glued blind-stitched seams.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Male,Adult,,,,new,FALSE,,,,,
Kids Full Wetsuit - Women's Sunset,kids-full-wetsuit-women-s-sunset,Durable and easy-to-wear wetsuit designed specifically for young surfers. Back zip entry.,NeptuneFit,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,beginner,female,sunset,kids",TRUE,Active,product_12,,Color,Sunset,,Gender,Female,,,,,141.98,170.38,,TRUE,,shopify,8,DENY,1200,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,Kids Full Wetsuit - Women's Sunset,,FALSE,Kids Full Wetsuit - Women's Sunset,Durable and easy-to-wear wetsuit designed specifically for young surfers. Back zip entry.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Female,Kids,,,,new,FALSE,,,,,
Spring Suit Ice Blue,spring-suit-ice-blue,Long-sleeve short-leg suit for transitional water temperatures. Great for 16-20°C.,WavePro,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,unisex,ice blue,adult",TRUE,Active,product_13,,Color,Ice Blue,,Gender,Unisex,,,,,170.54,,,TRUE,,shopify,16,DENY,1100,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,Spring Suit Ice Blue,,FALSE,Spring Suit Ice Blue,Long-sleeve short-leg suit for transitional water temperatures. Great for 16-20°C.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Unisex,Adult,,,,new,FALSE,,,,,
Wetsuit Vest - Men's Slate,wetsuit-vest-men-s-slate,Neoprene vest for core warmth without restricting arm movement. Layer under or wear solo.,ThermoGear,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,male,slate,adult",TRUE,Active,product_14,,Color,Slate,,Gender,Male,,,,,42.21,,,TRUE,,shopify,8,DENY,400,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,Wetsuit Vest - Men's Slate,,FALSE,Wetsuit Vest - Men's Slate,Neoprene vest for core warmth without restricting arm movement. Layer under or wear solo.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Male,Adult,,,,new,FALSE,,,,,
3/2mm Full Wetsuit - Women's Forest Green,3-2mm-full-wetsuit-women-s-forest-green,Versatile full-body wetsuit for spring and autumn sessions. Flexible neoprene with sealed seams.,DeepBlue,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,female,forest green,adult",TRUE,Active,product_15,,Color,Forest Green,,Gender,Female,,,,,245.44,,,TRUE,,shopify,11,DENY,1800,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,3/2mm Full Wetsuit - Women's Forest Green,,FALSE,3/2mm Full Wetsuit - Women's Forest Green,Versatile full-body wetsuit for spring and autumn sessions. Flexible neoprene with sealed seams.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Female,Adult,,,,new,FALSE,,,,,
4/3mm Winter Wetsuit - Kids Black,4-3mm-winter-wetsuit-kids-black,Heavyweight winter wetsuit with thermal lining for cold water surfing down to 8°C.,ArcticSurf,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,unisex,black,kids",TRUE,Active,product_16,,Color,Black,,Gender,Unisex,,,,,349.85,,,TRUE,,shopify,6,DENY,2200,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,4/3mm Winter Wetsuit - Kids Black,,FALSE,4/3mm Winter Wetsuit - Kids Black,Heavyweight winter wetsuit with thermal lining for cold water surfing down to 8°C.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Unisex,Kids,,,,new,FALSE,,,,,
2mm Shorty Wetsuit - Men's White,2mm-shorty-wetsuit-men-s-white,"Short-sleeve, short-leg wetsuit for warm summer sessions. Maximum flexibility.",FlexNeo,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,male,white,adult",TRUE,Active,product_17,,Color,White,,Gender,Male,,,,,130.91,,,TRUE,,shopify,16,DENY,900,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,2mm Shorty Wetsuit - Men's White,,FALSE,2mm Shorty Wetsuit - Men's White,"Short-sleeve, short-leg wetsuit for warm summer sessions. Maximum flexibility.",,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Male,Adult,,,,new,FALSE,,,,,
5/4mm Hooded Wetsuit - Women's Blue,5-4mm-hooded-wetsuit-women-s-blue,Maximum warmth with integrated hood for extreme cold. Triple-glued blind-stitched seams.,NeptuneFit,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,female,blue,adult",TRUE,Active,product_18,,Color,Blue,,Gender,Female,,,,,369.19,,,TRUE,,shopify,22,DENY,2800,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,5/4mm Hooded Wetsuit - Women's Blue,,FALSE,5/4mm Hooded Wetsuit - Women's Blue,Maximum warmth with integrated hood for extreme cold. Triple-glued blind-stitched seams.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Female,Adult,,,,new,FALSE,,,,,
Kids Full Wetsuit Red,kids-full-wetsuit-red,Durable and easy-to-wear wetsuit designed specifically for young surfers. Back zip entry.,WavePro,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,beginner,unisex,red,adult",TRUE,Active,product_19,,Color,Red,,Gender,Unisex,,,,,71.49,,,TRUE,,shopify,8,DENY,1200,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,Kids Full Wetsuit Red,,FALSE,Kids Full Wetsuit Red,Durable and easy-to-wear wetsuit designed specifically for young surfers. Back zip entry.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Unisex,Adult,,,,new,FALSE,,,,,
Spring Suit - Men's Green,spring-suit-men-s-green,Long-sleeve short-leg suit for transitional water temperatures. Great for 16-20°C.,ThermoGear,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,male,green,kids",TRUE,Active,product_20,,Color,Green,,Gender,Male,,,,,168.58,,,TRUE,,shopify,8,DENY,1100,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,Spring Suit - Men's Green,,FALSE,Spring Suit - Men's Green,Long-sleeve short-leg suit for transitional water temperatures. Great for 16-20°C.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Male,Kids,,,,new,FALSE,,,,,
Wetsuit Vest - Women's Yellow,wetsuit-vest-women-s-yellow,Neoprene vest for core warmth without restricting arm movement. Layer under or wear solo.,DeepBlue,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,female,yellow,adult",TRUE,Active,product_21,,Color,Yellow,,Gender,Female,,,,,64.14,,,TRUE,,shopify,21,DENY,400,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,Wetsuit Vest - Women's Yellow,,FALSE,Wetsuit Vest - Women's Yellow,Neoprene vest for core warmth without restricting arm movement. Layer under or wear solo.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Female,Adult,,,,new,FALSE,,,,,
3/2mm Full Wetsuit Orange,3-2mm-full-wetsuit-orange,Versatile full-body wetsuit for spring and autumn sessions. Flexible neoprene with sealed seams.,ArcticSurf,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,unisex,orange,adult",TRUE,Active,product_22,,Color,Orange,,Gender,Unisex,,,,,195.97,235.16,,TRUE,,shopify,10,DENY,1800,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,3/2mm Full Wetsuit Orange,,FALSE,3/2mm Full Wetsuit Orange,Versatile full-body wetsuit for spring and autumn sessions. Flexible neoprene with sealed seams.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Unisex,Adult,,,,new,FALSE,,,,,
4/3mm Winter Wetsuit - Men's Teal,4-3mm-winter-wetsuit-men-s-teal,Heavyweight winter wetsuit with thermal lining for cold water surfing down to 8°C.,FlexNeo,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,male,teal,adult",TRUE,Active,product_23,,Color,Teal,,Gender,Male,,,,,380.88,457.06,,TRUE,,shopify,15,DENY,2200,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,4/3mm Winter Wetsuit - Men's Teal,,FALSE,4/3mm Winter Wetsuit - Men's Teal,Heavyweight winter wetsuit with thermal lining for cold water surfing down to 8°C.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Male,Adult,,,,new,FALSE,,,,,
2mm Shorty Wetsuit - Women's Navy,2mm-shorty-wetsuit-women-s-navy,"Short-sleeve, short-leg wetsuit for warm summer sessions. Maximum flexibility.",NeptuneFit,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,female,navy,kids",TRUE,Active,product_24,,Color,Navy,,Gender,Female,,,,,99.65,,,TRUE,,shopify,13,DENY,900,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,2mm Shorty Wetsuit - Women's Navy,,FALSE,2mm Shorty Wetsuit - Women's Navy,"Short-sleeve, short-leg wetsuit for warm summer sessions. Maximum flexibility.",,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Female,Kids,,,,new,FALSE,,,,,
5/4mm Hooded Wetsuit Charcoal,5-4mm-hooded-wetsuit-charcoal,Maximum warmth with integrated hood for extreme cold. Triple-glued blind-stitched seams.,WavePro,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,unisex,charcoal,adult",TRUE,Active,product_25,,Color,Charcoal,,Gender,Unisex,,,,,489.83,,,TRUE,,shopify,22,DENY,2800,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,5/4mm Hooded Wetsuit Charcoal,,FALSE,5/4mm Hooded Wetsuit Charcoal,Maximum warmth with integrated hood for extreme cold. Triple-glued blind-stitched seams.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Unisex,Adult,,,,new,FALSE,,,,,
Kids Full Wetsuit - Men's Coral,kids-full-wetsuit-men-s-coral,Durable and easy-to-wear wetsuit designed specifically for young surfers. Back zip entry.,ThermoGear,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,beginner,male,coral,adult",TRUE,Active,product_26,,Color,Coral,,Gender,Male,,,,,95.56,,,TRUE,,shopify,17,DENY,1200,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,Kids Full Wetsuit - Men's Coral,,FALSE,Kids Full Wetsuit - Men's Coral,Durable and easy-to-wear wetsuit designed specifically for young surfers. Back zip entry.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Male,Adult,,,,new,FALSE,,,,,
Spring Suit - Women's Sunset,spring-suit-women-s-sunset,Long-sleeve short-leg suit for transitional water temperatures. Great for 16-20°C.,DeepBlue,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,female,sunset,adult",TRUE,Active,product_27,,Color,Sunset,,Gender,Female,,,,,152.68,,,TRUE,,shopify,17,DENY,1100,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,Spring Suit - Women's Sunset,,FALSE,Spring Suit - Women's Sunset,Long-sleeve short-leg suit for transitional water temperatures. Great for 16-20°C.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Female,Adult,,,,new,FALSE,,,,,
Wetsuit Vest - Kids Ice Blue,wetsuit-vest-kids-ice-blue,Neoprene vest for core warmth without restricting arm movement. Layer under or wear solo.,ArcticSurf,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,unisex,ice blue,kids",TRUE,Active,product_28,,Color,Ice Blue,,Gender,Unisex,,,,,70.28,,,TRUE,,shopify,23,DENY,400,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,Wetsuit Vest - Kids Ice Blue,,FALSE,Wetsuit Vest - Kids Ice Blue,Neoprene vest for core warmth without restricting arm movement. Layer under or wear solo.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Unisex,Kids,,,,new,FALSE,,,,,
3/2mm Full Wetsuit - Men's Slate,3-2mm-full-wetsuit-men-s-slate,Versatile full-body wetsuit for spring and autumn sessions. Flexible neoprene with sealed seams.,FlexNeo,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,male,slate,adult",TRUE,Active,product_29,,Color,Slate,,Gender,Male,,,,,263.01,,,TRUE,,shopify,22,DENY,1800,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,3/2mm Full Wetsuit - Men's Slate,,FALSE,3/2mm Full Wetsuit - Men's Slate,Versatile full-body wetsuit for spring and autumn sessions. Flexible neoprene with sealed seams.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Male,Adult,,,,new,FALSE,,,,,
4/3mm Winter Wetsuit - Women's Forest Green,4-3mm-winter-wetsuit-women-s-forest-green,Heavyweight winter wetsuit with thermal lining for cold water surfing down to 8°C.,NeptuneFit,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,female,forest green,adult",TRUE,Active,product_30,,Color,Forest Green,,Gender,Female,,,,,428.38,,,TRUE,,shopify,17,DENY,2200,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,4/3mm Winter Wetsuit - Women's Forest Green,,FALSE,4/3mm Winter Wetsuit - Women's Forest Green,Heavyweight winter wetsuit with thermal lining for cold water surfing down to 8°C.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Female,Adult,,,,new,FALSE,,,,,
2mm Shorty Wetsuit Black,2mm-shorty-wetsuit-black,"Short-sleeve, short-leg wetsuit for warm summer sessions. Maximum flexibility.",WavePro,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,unisex,black,adult",TRUE,Active,product_31,,Color,Black,,Gender,Unisex,,,,,97.56,,,TRUE,,shopify,13,DENY,900,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,2mm Shorty Wetsuit Black,,FALSE,2mm Shorty Wetsuit Black,"Short-sleeve, short-leg wetsuit for warm summer sessions. Maximum flexibility.",,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Unisex,Adult,,,,new,FALSE,,,,,
5/4mm Hooded Wetsuit - Men's White,5-4mm-hooded-wetsuit-men-s-white,Maximum warmth with integrated hood for extreme cold. Triple-glued blind-stitched seams.,ThermoGear,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,all-levels,male,white,kids",TRUE,Active,product_32,,Color,White,,Gender,Male,,,,,506.74,,,TRUE,,shopify,8,DENY,2800,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,5/4mm Hooded Wetsuit - Men's White,,FALSE,5/4mm Hooded Wetsuit - Men's White,Maximum warmth with integrated hood for extreme cold. Triple-glued blind-stitched seams.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Male,Kids,,,,new,FALSE,,,,,
Kids Full Wetsuit - Women's Blue,kids-full-wetsuit-women-s-blue,Durable and easy-to-wear wetsuit designed specifically for young surfers. Back zip entry.,DeepBlue,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Wetsuits,"wetsuits,surfing,ocean,beginner,female,blue,adult",TRUE,Active,product_33,,Color,Blue,,Gender,Female,,,,,136.93,,,TRUE,,shopify,7,DENY,1200,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/wetsuit.png,1,Kids Full Wetsuit - Women's Blue,,FALSE,Kids Full Wetsuit - Women's Blue,Durable and easy-to-wear wetsuit designed specifically for young surfers. Back zip entry.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Female,Adult,,,,new,FALSE,,,,,
